Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2020,Baseline,Demographics,Ethnicity,White,Overall,Overall,share,3,248601,82678,82867,0.820532692429548,0.000346219195391754,0.820140908528058,0.820924476331038,0.000199889745658045
2021,Baseline,Demographics,Ethnicity,White,Overall,Overall,share,3,248828,82749,82942.6666666667,0.819731395320501,0.000410152947908195,0.819267263567329,0.820195527073673,0.000236801914883715
2022,Baseline,Demographics,Ethnicity,White,Overall,Overall,share,3,250579,83373,83526.3333333333,0.818767677669396,0.000312196886970529,0.8184143936342,0.819120961704592,0.000180246956732598
2023,Baseline,Demographics,Ethnicity,White,Overall,Overall,share,3,252959,84036,84319.6666666667,0.818485833591278,0.000453217523464178,0.817972969683298,0.818998697499258,0.000261665259173499
2019,Baseline,Demographics,Ethnicity,Black,Overall,Overall,share,3,11020,3671,3673.33333333333,0.0367275801431165,2.26948669592498e-05,0.0367018984835222,0.0367532618027109,1.31028875481456e-05
2019,Baseline,Demographics,Ethnicity,Mixed,Overall,Overall,share,3,8861,2950,2953.66666666667,0.0295320406785941,3.30293758158955e-05,0.0294946644213179,0.0295694169358703,1.90695190184726e-05
2020,Baseline,Demographics,Ethnicity,Black,Overall,Overall,share,3,11144,3708,3714.66666666667,0.0367819635029119,5.13815987968825e-05,0.0367238197503142,0.0368401072555095,2.96651798967735e-05
2020,Baseline,Demographics,Ethnicity,Mixed,Overall,Overall,share,3,9001,2991,3000.33333333333,0.0297087437185291,7.61525255897909e-05,0.0296225690234776,0.0297949184135806,4.39666811487357e-05
2021,Baseline,Demographics,Ethnicity,Black,Overall,Overall,share,3,11138,3704,3712.66666666667,0.0366926635425121,4.15725183277177e-05,0.0366456198094032,0.036739707275621,2.40019046473984e-05
2021,Baseline,Demographics,Ethnicity,Mixed,Overall,Overall,share,3,9043,3001,3014.33333333333,0.0297909635524472,0.000101506392502067,0.0296760982560976,0.0299058288487969,5.86047430355364e-05
2022,Baseline,Demographics,Ethnicity,Black,Overall,Overall,share,3,11249,3747,3749.66666666667,0.0367561983750191,4.92982219989234e-05,0.0367004121852055,0.0368119845648328,2.84623417416484e-05
2022,Baseline,Demographics,Ethnicity,Mixed,Overall,Overall,share,3,9234,3061,3078,0.0301722400232659,0.00017157972061658,0.0299780792914104,0.0303664007551214,9.9061597885463e-05
2023,Baseline,Demographics,Ethnicity,Black,Overall,Overall,share,3,11330,3770,3776.66666666667,0.0366599701948422,8.4505487155815e-05,0.0365643432339577,0.0367555971557267,4.87892657574103e-05
2023,Baseline,Demographics,Ethnicity,Mixed,Overall,Overall,share,3,9417,3125,3139,0.0304703736068051,0.000190251547346895,0.0302550837139392,0.0306856634996711,0.000109841782074472
2019,Baseline,Demographics,Ethnicity,Asian,Overall,Overall,share,3,31058,10348,10352.6666666667,0.103510452312583,5.65171979275286e-05,0.103446497082486,0.10357440754268,3.2630219437302e-05
2020,Baseline,Demographics,Ethnicity,Asian,Overall,Overall,share,3,31542,10495,10514,0.104107768484515,0.000180791959532417,0.103903183122969,0.104312353846062,0.000104380286503361
2021,Baseline,Demographics,Ethnicity,Asian,Overall,Overall,share,3,31851,10584,10617,0.104929663123636,0.000609093185678271,0.104240409298799,0.105618916948473,0.000351660114712917
2022,Baseline,Demographics,Ethnicity,Asian,Overall,Overall,share,3,32228,10686,10742.6666666667,0.105305022154342,0.000627241635451397,0.104595231425275,0.106014812883408,0.000362138127074805
2023,Baseline,Demographics,Ethnicity,Asian,Overall,Overall,share,3,32562,10807,10854,0.105359106178584,0.000406738051263189,0.104898838744746,0.105819373612421,0.000234830323386466
2019,Baseline,Demographics,Ethnicity,Other,Overall,Overall,share,3,1899,631,633,0.00632900770758686,1.68983220012566e-05,0.00630988545610455,0.00634812995906917,9.75625075627849e-06
2020,Baseline,Demographics,Ethnicity,Other,Overall,Overall,share,3,1939,640,646.333333333333,0.00639998783241051,8.39568283478756e-05,0.00630498173741448,0.00649499392740654,4.84724974469532e-05
2021,Baseline,Demographics,Ethnicity,Other,Overall,Overall,share,3,1933,630,644.333333333333,0.00636806585912825,0.000130005892306982,0.00622095034276569,0.00651518137549081,7.50589369196736e-05
2022,Baseline,Demographics,Ethnicity,Other,Overall,Overall,share,3,1988,639,662.666666666667,0.00649592472010503,0.000222994799544781,0.0062435823493167,0.00674826709089336,0.000128746107545066
2023,Baseline,Demographics,Ethnicity,Other,Overall,Overall,share,3,2019,638,673,0.00653314658898929,0.000333055692085578,0.00615625859376702,0.00691003458421155,0.000192289793480745
2019,Baseline,Demographics,Ethnicity,Missing,Overall,Overall,share,3,747,249,249,0.00248960996846224,1.65746643921284e-07,0.00248942240847805,0.00248979752844644,9.56938694852304e-08
2020,Baseline,Demographics,Ethnicity,Missing,Overall,Overall,share,3,748,248,249.333333333333,0.00246884403208507,7.34948570924197e-06,0.00246052730608191,0.00247716075808824,4.24322755263616e-06
2021,Baseline,Demographics,Ethnicity,Missing,Overall,Overall,share,3,755,250,251.666666666667,0.00248724860177541,1.32309308396875e-05,0.00247227639407084,0.00250222080947998,7.63888148192289e-06
2022,Baseline,Demographics,Ethnicity,Missing,Overall,Overall,share,3,766,252,255.333333333333,0.0025029370578725,3.72647004493932e-05,0.00246076807959448,0.00254510603615053,2.15147848357279e-05
