Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2020,Baseline,Demographics,Ethnicity,White,Overall,Overall,share,3,248338,82671,82779.3333333333,0.820282320069417,0.000325976513072981,0.819913442919375,0.820651197219458,0.000188202627572181
2021,Baseline,Demographics,Ethnicity,White,Overall,Overall,share,3,248594,82722,82864.6666666667,0.819606478173852,4.93398931135275e-05,0.819550644828733,0.819662311518971,2.84864005708824e-05
2022,Baseline,Demographics,Ethnicity,White,Overall,Overall,share,3,250484,83372,83494.6666666667,0.818655530234696,0.000265575322590083,0.818355003466081,0.818956057003312,0.000153329983987506
2023,Baseline,Demographics,Ethnicity,White,Overall,Overall,share,3,252685,84012,84228.3333333333,0.817896183470563,0.000615742166987677,0.817199405615074,0.818592961326052,0.000355498905861739
2019,Baseline,Demographics,Ethnicity,Black,Overall,Overall,share,3,11020,3671,3673.33333333333,0.0367275801431165,2.26948669592498e-05,0.0367018984835222,0.0367532618027109,1.31028875481456e-05
2019,Baseline,Demographics,Ethnicity,Mixed,Overall,Overall,share,3,8861,2950,2953.66666666667,0.0295320406785941,3.30293758158955e-05,0.0294946644213179,0.0295694169358703,1.90695190184726e-05
2020,Baseline,Demographics,Ethnicity,Black,Overall,Overall,share,3,11170,3715,3723.33333333333,0.0368954547115682,9.93643905319459e-05,0.0367830133186301,0.0370078961045063,5.73680576214821e-05
2020,Baseline,Demographics,Ethnicity,Mixed,Overall,Overall,share,3,9004,2989,3001.33333333333,0.0297410141837649,0.000117693918035377,0.0296078309778558,0.0298741973896739,6.79506152597064e-05
2021,Baseline,Demographics,Ethnicity,Black,Overall,Overall,share,3,11203,3715,3734.33333333333,0.0369357140709948,0.000148156085518244,0.036768059677517,0.0371033684644726,8.55379558560394e-05
2021,Baseline,Demographics,Ethnicity,Mixed,Overall,Overall,share,3,9016,2984,3005.33333333333,0.0297254031874725,0.00016577590641264,0.0295378100896552,0.0299129962852898,9.5710764192492e-05
2022,Baseline,Demographics,Ethnicity,Black,Overall,Overall,share,3,11331,3745,3777,0.0370328443881778,0.000224109774588194,0.0367792403043522,0.0372864484720034,0.00012938983868652
2022,Baseline,Demographics,Ethnicity,Mixed,Overall,Overall,share,3,9178,3035,3059.33333333333,0.0299964294076572,0.000219362716631009,0.0297481971256029,0.0302446616897115,0.000126649123497081
2023,Baseline,Demographics,Ethnicity,Black,Overall,Overall,share,3,11402,3766,3800.66666666667,0.0369060217386091,0.000255051793898687,0.0366174034637543,0.0371946400134639,0.000147254221864704
2023,Baseline,Demographics,Ethnicity,Mixed,Overall,Overall,share,3,9364,3100,3121.33333333333,0.0303098415093006,0.000222511683410607,0.0300580458358833,0.0305616371827179,0.000128467180314951
2019,Baseline,Demographics,Ethnicity,Asian,Overall,Overall,share,3,31058,10348,10352.6666666667,0.103510452312583,5.65171979275286e-05,0.103446497082486,0.10357440754268,3.2630219437302e-05
2020,Baseline,Demographics,Ethnicity,Asian,Overall,Overall,share,3,31557,10500,10519,0.104235497850532,0.000108162556039066,0.104113100396075,0.104357895304989,6.24476808453926e-05
2021,Baseline,Demographics,Ethnicity,Asian,Overall,Overall,share,3,31822,10579,10607.3333333333,0.104916290932237,0.000269275290099806,0.104611577256235,0.105221004608238,0.000155466161225237
2022,Baseline,Demographics,Ethnicity,Asian,Overall,Overall,share,3,32229,10704,10743,0.105333972368793,0.000541605591212136,0.104721087946386,0.105946856791199,0.000312696133880933
2023,Baseline,Demographics,Ethnicity,Asian,Overall,Overall,share,3,32687,10847,10895.6666666667,0.105802381144634,0.000766251883985452,0.104935285510921,0.106669476778346,0.000442395731486059
